PlayerGagged,,,Speak more clearly if you want something.,,
ItemMouth,,,(She willingly opens her mouth.),,
RemoveItemMouth,,,(She grins at you.) Was that it?,,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It's really tight.,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot.,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  Thanks a lot.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I'll stay on guard here.,,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks, it was troublesome.",,
ItemNeck,,,(You strap the collar on her while she blushes.)  Is this really necessary?,,
RemoveItemNeck,,,(You remove the collar from her neck.)  Thanks.,,
ItemPelvis,,,(You snap the belt around her waist and crotch while she sighs.)  This is certainly not a trick.,,
RemoveItemPelvis,,,(You unlock the belt from her waist and she smiles.)  Thanks a lot DialogPlayerName.,,
ItemHead,,,(You strap the device on her head as she nods slowly.)  It's dark in here.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  For the show.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  For the show.,,
ItemTorso,,,(She tries to fight back.)  This is how it's meant to be.,,
RemoveItemTorso,,,"(You remove the device.)  Thanks, now can work again.",,
ItemButt,,,(She looks surprised.) Oops?,,
RemoveItemButt,,,"(She looks confused.) Thanks, are we done?",,
ItemBreast,,,"(She whimpers as you use the device on her breast.)  Sorry to object, but this isn't very convenient or comfortable.",,
RemoveItemBreast,,,(She grumbles as you use remove the item.)  Be thoughtful and don't remove anything until I'm hurt and broken.,,
ItemNipples,,,"(She whimpers as you use the device on her breast.)  Sorry to object, but this isn't very convenient or comfortable.",,
RemoveItemNipples,,,(She grumbles as you use remove the item.)  Be thoughtful and don't remove anything until I'm hurt and broken.,,
ItemVulvaVibratingWand,,,"(You massage her pussy with the wand, but she stays cold.)  I'm very sorry.  I'm not in the mood.",,
VibratingEgg,,,"(You slide the egg inside, but she barely reacts to it.)  I don't want to top from the bottom, but this egg would work better on someone else.",,
RemoveVibratingEgg,,,"(She doesn't react as you remove the egg.)  Maybe it doesn't work, I didn't feel a thing in there.",,
SuspensionHempRope,,,(She struggles against it.) Like the great master Houdini?,,
RemoveSuspensionHempRope,,,(She catches her breath.) Finally.  What was that supposed to be?,,
0,,,Welcome to the theater ,,
0,,"Hello, I'm DialogPlayerName.  Nice to meet you.","Pleased to meet you too.  I'm DialogCharacterName, Would you like to assist me?",DialogRemove(),
0,10,Can you answer some questions?,What do you want to know?,,
0,20,Show me one of your magic tricks.,"(She snaps her fingers.) And just like that, you've swapped clothes with my assistant.",,ShowIsState(1)
0,30,The show can begin.,Welcome dear spectators.,ShowStart(),ShowIsState(3)
0,,(Squirm in the shackles and seek help.),I can not work like that. Goodbye.,TrickEndPerformance(),Player.IsRestrained()
0,,I'm ready for the next trick.,,SelectTrick(),ShowIsState(5)
0,,I did it and I want to stop.,(She gives you the income of REPLACEMONEY$.),ShowPayoff(),ShowIsState(5)
0,,Goodbye. (Leave.),,DialogLeave(),
10,,What is this room? ,The Houdini-Theater in which a magic show will be performed.,,
10,,What's in it for me if I participate?,"As an assistant, you can earn some money.",,
10,,Can I participate in the magic show?,I am still looking for an escape artist as an assistant.,,
10,11,How does the payment work?,You get paid for tricks. With every trick your income increases up to the maximum limit.,,
10,0,No further questions.,Enjoy the show then.,,
11,10,(Listen.),"Payment is made at the end of the show. If you fail during a trick, you'll get thrown off the stage and have to leave.",,
20,21,(Wait.),Would you like to join the show?,TrickChangeDresses(),
